dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
cifar100,mobilenetv3_small,,gradient,10,0.1,0.4609,0.4381111111111111,9000
cifar100,mobilenetv3_small,,gradient,20,0.2,0.4609,0.421375,8000
cifar100,mobilenetv3_small,,gradient,30,0.3,0.4609,0.4085714285714286,7000
cifar100,mobilenetv3_small,,gradient,40,0.4,0.4609,0.394,6000
cifar100,mobilenetv3_small,,gradient,50,0.5,0.4609,0.3806,5000
cifar100,mobilenetv3_small,,hybrid,10,0.1,0.4609,0.49433333333333335,9000
cifar100,mobilenetv3_small,,hybrid,20,0.2,0.4609,0.532625,8000
cifar100,mobilenetv3_small,,hybrid,30,0.3,0.4609,0.5728571428571428,7000
cifar100,mobilenetv3_small,,hybrid,40,0.4,0.4609,0.6148333333333333,6000
cifar100,mobilenetv3_small,,hybrid,50,0.5,0.4609,0.6626,5000
cifar100,shufflenetv2_0_5,,entropy,10,0.1,0.4275,0.4642222222222222,9000
cifar100,shufflenetv2_0_5,,entropy,20,0.2,0.4275,0.50175,8000
cifar100,shufflenetv2_0_5,,entropy,30,0.3,0.4275,0.5447142857142857,7000
cifar100,shufflenetv2_0_5,,entropy,40,0.4,0.4275,0.5913333333333334,6000
cifar100,shufflenetv2_0_5,,entropy,50,0.5,0.4275,0.6418,5000
cifar100,shufflenetv2_0_5,,gradient,10,0.1,0.4275,0.4192222222222222,9000
cifar100,shufflenetv2_0_5,,gradient,20,0.2,0.4275,0.4145,8000
cifar100,shufflenetv2_0_5,,gradient,30,0.3,0.4275,0.4072857142857143,7000
cifar100,shufflenetv2_0_5,,gradient,40,0.4,0.4275,0.4041666666666667,6000
cifar100,shufflenetv2_0_5,,gradient,50,0.5,0.4275,0.4004,5000
cifar100,shufflenetv2_0_5,,hybrid,10,0.1,0.4275,0.45755555555555555,9000
cifar100,shufflenetv2_0_5,,hybrid,20,0.2,0.4275,0.49025,8000
cifar100,shufflenetv2_0_5,,hybrid,30,0.3,0.4275,0.5275714285714286,7000
cifar100,shufflenetv2_0_5,,hybrid,40,0.4,0.4275,0.5691666666666667,6000
cifar100,shufflenetv2_0_5,,hybrid,50,0.5,0.4275,0.618,5000
tinyimagenet,efficientnetv2_s,,entropy,10,0.1,0.4052,0.442,9000
tinyimagenet,efficientnetv2_s,,entropy,20,0.2,0.4052,0.48075,8000
tinyimagenet,efficientnetv2_s,,entropy,30,0.3,0.4052,0.5251428571428571,7000
tinyimagenet,efficientnetv2_s,,entropy,40,0.4,0.4052,0.5686666666666667,6000
tinyimagenet,efficientnetv2_s,,entropy,50,0.5,0.4052,0.625,5000
tinyimagenet,efficientnetv2_s,,gradient,10,0.1,0.4052,0.3907777777777778,9000
tinyimagenet,efficientnetv2_s,,gradient,20,0.2,0.4052,0.383625,8000
tinyimagenet,efficientnetv2_s,,gradient,30,0.3,0.4052,0.37585714285714283,7000
