dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
cifar10-c,mobilenetv3_small,42,entropy,20,0.2,0.6285631578947368,0.7006842105263158,152000
cifar10-c,mobilenetv3_small,42,entropy,30,0.3,0.6285631578947368,0.7362781954887218,133000
cifar10-c,mobilenetv3_small,42,entropy,40,0.4,0.6285631578947368,0.7722719298245614,114000
cifar10-c,mobilenetv3_small,42,entropy,50,0.5,0.6285631578947368,0.804221052631579,95000
cifar10-c,mobilenetv3_small,42,gradient,10,0.1,0.6285631578947368,0.65346783625731,171000
cifar10-c,mobilenetv3_small,42,gradient,20,0.2,0.6285631578947368,0.6843092105263158,152000
cifar10-c,mobilenetv3_small,42,gradient,30,0.3,0.6285631578947368,0.7219849624060151,133000
cifar10-c,mobilenetv3_small,42,gradient,40,0.4,0.6285631578947368,0.7668421052631579,114000
cifar10-c,mobilenetv3_small,42,gradient,50,0.5,0.6285631578947368,0.8155157894736842,95000
cifar10-c,mobilenetv3_small,42,hybrid,10,0.1,0.6285631578947368,0.6615906432748538,171000
cifar10-c,mobilenetv3_small,42,hybrid,20,0.2,0.6285631578947368,0.6981184210526316,152000
cifar10-c,mobilenetv3_small,42,hybrid,30,0.3,0.6285631578947368,0.737390977443609,133000
cifar10-c,mobilenetv3_small,42,hybrid,40,0.4,0.6285631578947368,0.7773070175438597,114000
cifar10-c,mobilenetv3_small,42,hybrid,50,0.5,0.6285631578947368,0.8167894736842105,95000
cifar10-c,shufflenetv2_0_5,42,entropy,10,0.1,0.598121052631579,0.6334502923976608,171000
cifar10-c,shufflenetv2_0_5,42,entropy,20,0.2,0.598121052631579,0.6679539473684211,152000
cifar10-c,shufflenetv2_0_5,42,entropy,30,0.3,0.598121052631579,0.7028947368421052,133000
cifar10-c,shufflenetv2_0_5,42,entropy,40,0.4,0.598121052631579,0.7378333333333333,114000
cifar10-c,shufflenetv2_0_5,42,entropy,50,0.5,0.598121052631579,0.7681684210526316,95000
cifar10-c,shufflenetv2_0_5,42,gradient,10,0.1,0.598121052631579,0.6261169590643275,171000
cifar10-c,shufflenetv2_0_5,42,gradient,20,0.2,0.598121052631579,0.6576118421052631,152000
cifar10-c,shufflenetv2_0_5,42,gradient,30,0.3,0.598121052631579,0.6957218045112782,133000
cifar10-c,shufflenetv2_0_5,42,gradient,40,0.4,0.598121052631579,0.7400614035087719,114000
cifar10-c,shufflenetv2_0_5,42,gradient,50,0.5,0.598121052631579,0.7870421052631579,95000
cifar10-c,shufflenetv2_0_5,42,hybrid,10,0.1,0.598121052631579,0.6325555555555555,171000
cifar10-c,shufflenetv2_0_5,42,hybrid,20,0.2,0.598121052631579,0.667921052631579,152000
cifar10-c,shufflenetv2_0_5,42,hybrid,30,0.3,0.598121052631579,0.7054812030075188,133000
cifar10-c,shufflenetv2_0_5,42,hybrid,40,0.4,0.598121052631579,0.7442456140350877,114000
cifar10-c,shufflenetv2_0_5,42,hybrid,50,0.5,0.598121052631579,0.7841157894736842,95000
cifar100,efficientnetv2_s,42,entropy,10,0.1,0.3222,0.3457777777777778,9000
cifar100,efficientnetv2_s,42,entropy,20,0.2,0.3222,0.3735,8000
cifar100,efficientnetv2_s,42,entropy,30,0.3,0.3222,0.4074285714285714,7000
cifar100,efficientnetv2_s,42,entropy,40,0.4,0.3222,0.44183333333333336,6000
cifar100,efficientnetv2_s,42,entropy,50,0.5,0.3222,0.483,5000
cifar100,efficientnetv2_s,42,gradient,10,0.1,0.3222,0.33255555555555555,9000
cifar100,efficientnetv2_s,42,gradient,20,0.2,0.3222,0.3465,8000
cifar100,efficientnetv2_s,42,gradient,30,0.3,0.3222,0.36557142857142855,7000
cifar100,efficientnetv2_s,42,gradient,40,0.4,0.3222,0.39016666666666666,6000
cifar100,efficientnetv2_s,42,gradient,50,0.5,0.3222,0.4174,5000
cifar100,efficientnetv2_s,42,hybrid,10,0.1,0.3222,0.3453333333333333,9000
cifar100,efficientnetv2_s,42,hybrid,20,0.2,0.3222,0.372375,8000
cifar100,efficientnetv2_s,42,hybrid,30,0.3,0.3222,0.4042857142857143,7000
cifar100,efficientnetv2_s,42,hybrid,40,0.4,0.3222,0.44083333333333335,6000
cifar100,efficientnetv2_s,42,hybrid,50,0.5,0.3222,0.4816,5000
cifar100,mobilenetv3_small,42,entropy,10,0.1,0.43,0.4633333333333333,9000
cifar100,mobilenetv3_small,42,entropy,20,0.2,0.43,0.4975,8000
cifar100,mobilenetv3_small,42,entropy,30,0.3,0.43,0.537,7000
cifar100,mobilenetv3_small,42,entropy,40,0.4,0.43,0.5783333333333334,6000
cifar100,mobilenetv3_small,42,entropy,50,0.5,0.43,0.6292,5000
cifar100,mobilenetv3_small,42,gradient,10,0.1,0.43,0.4281111111111111,9000
cifar100,mobilenetv3_small,42,gradient,20,0.2,0.43,0.429625,8000
cifar100,mobilenetv3_small,42,gradient,30,0.3,0.43,0.43314285714285716,7000
cifar100,mobilenetv3_small,42,gradient,40,0.4,0.43,0.44083333333333335,6000
cifar100,mobilenetv3_small,42,gradient,50,0.5,0.43,0.4486,5000
cifar100,mobilenetv3_small,42,hybrid,10,0.1,0.43,0.4563333333333333,9000
cifar100,mobilenetv3_small,42,hybrid,20,0.2,0.43,0.485625,8000
cifar100,mobilenetv3_small,42,hybrid,30,0.3,0.43,0.5214285714285715,7000
cifar100,mobilenetv3_small,42,hybrid,40,0.4,0.43,0.5643333333333334,6000
cifar100,mobilenetv3_small,42,hybrid,50,0.5,0.43,0.6126,5000
cifar100,shufflenetv2_0_5,42,entropy,10,0.1,0.4329,0.4656666666666667,9000
cifar100,shufflenetv2_0_5,42,entropy,20,0.2,0.4329,0.500875,8000
cifar100,shufflenetv2_0_5,42,entropy,30,0.3,0.4329,0.5374285714285715,7000
cifar100,shufflenetv2_0_5,42,entropy,40,0.4,0.4329,0.5791666666666667,6000
cifar100,shufflenetv2_0_5,42,entropy,50,0.5,0.4329,0.6262,5000
cifar100,shufflenetv2_0_5,42,gradient,10,0.1,0.4329,0.44355555555555554,9000
cifar100,shufflenetv2_0_5,42,gradient,20,0.2,0.4329,0.455375,8000
cifar100,shufflenetv2_0_5,42,gradient,30,0.3,0.4329,0.4664285714285714,7000
cifar100,shufflenetv2_0_5,42,gradient,40,0.4,0.4329,0.4846666666666667,6000
cifar100,shufflenetv2_0_5,42,gradient,50,0.5,0.4329,0.497,5000
cifar100,shufflenetv2_0_5,42,hybrid,10,0.1,0.4329,0.46266666666666667,9000
cifar100,shufflenetv2_0_5,42,hybrid,20,0.2,0.4329,0.49325,8000
cifar100,shufflenetv2_0_5,42,hybrid,30,0.3,0.4329,0.5257142857142857,7000
cifar100,shufflenetv2_0_5,42,hybrid,40,0.4,0.4329,0.5658333333333333,6000
cifar100,shufflenetv2_0_5,42,hybrid,50,0.5,0.4329,0.6188,5000
cifar100-c,efficientnetv2_s,42,entropy,10,0.1,0.25682105263157895,0.2769941520467836,171000
cifar100-c,efficientnetv2_s,42,entropy,20,0.2,0.25682105263157895,0.29925,152000
cifar100-c,efficientnetv2_s,42,entropy,30,0.3,0.25682105263157895,0.3248045112781955,133000
cifar100-c,efficientnetv2_s,42,entropy,40,0.4,0.25682105263157895,0.35418421052631577,114000
cifar100-c,efficientnetv2_s,42,entropy,50,0.5,0.25682105263157895,0.3913473684210526,95000
cifar100-c,efficientnetv2_s,42,gradient,10,0.1,0.25682105263157895,0.26600584795321636,171000
cifar100-c,efficientnetv2_s,42,gradient,20,0.2,0.25682105263157895,0.27745394736842105,152000
cifar100-c,efficientnetv2_s,42,gradient,30,0.3,0.25682105263157895,0.2921127819548872,133000
cifar100-c,efficientnetv2_s,42,gradient,40,0.4,0.25682105263157895,0.3107017543859649,114000
cifar100-c,efficientnetv2_s,42,gradient,50,0.5,0.25682105263157895,0.33508421052631576,95000
cifar100-c,efficientnetv2_s,42,hybrid,10,0.1,0.25682105263157895,0.2761929824561403,171000
cifar100-c,efficientnetv2_s,42,hybrid,20,0.2,0.25682105263157895,0.29844736842105263,152000
cifar100-c,efficientnetv2_s,42,hybrid,30,0.3,0.25682105263157895,0.32417293233082706,133000
cifar100-c,efficientnetv2_s,42,hybrid,40,0.4,0.25682105263157895,0.35385087719298247,114000
cifar100-c,efficientnetv2_s,42,hybrid,50,0.5,0.25682105263157895,0.3902421052631579,95000
cifar100-c,mobilenetv3_small,42,entropy,10,0.1,0.32236315789473685,0.3476783625730994,171000
cifar100-c,mobilenetv3_small,42,entropy,20,0.2,0.32236315789473685,0.3753157894736842,152000
cifar100-c,mobilenetv3_small,42,entropy,30,0.3,0.32236315789473685,0.40577443609022557,133000
cifar100-c,mobilenetv3_small,42,entropy,40,0.4,0.32236315789473685,0.4417456140350877,114000
